latitude,longitude
-34.78467,20.03123
-34.60476,19.37227
-34.5833,19.35
-34.5333,20.0333
-34.47472,19.89806
-34.43937,19.45448
-34.4175,19.24316
-34.41689,19.16593
-34.38861,19.13167
-34.36833,21.41111
-34.3667,21.4
-34.35,19.0333
-34.34972,21.87861
-34.23698,19.43306
-34.22747,19.19866
-34.2167,19.4167
-34.18988,24.83279
-34.18943,22.11867
-34.1833,18.4333
-34.1833,22.1333
-34.16829,22.12201
-34.15634,19.01991
-34.15,19.0167
-34.15,19.9
-34.1333,18.4333
-34.13104,18.42778
-34.12586,22.11092
-34.11821,21.18912
-34.1167,18.4667
-34.1167,18.8333
-34.11325,18.85222
-34.10077,24.78541
-34.0833,18.85
-34.07929,24.90722
-34.07481,18.83299
-34.07115,18.84511
-34.06015,18.47611
-34.05384,18.57505
-34.05153,23.3441
-34.05075,19.60817
-34.05,18.6167
-34.05,18.6667
-34.05,23.32083
-34.05,23.3666
-34.05,23.3667
-34.04517,20.54704
-34.04513,18.52139
-34.04306,18.52139
-34.0425,22.22262
-34.03961,23.07018
-34.03907,19.57707
-34.03794,20.34389
-34.034,23.0343
-34.0333,20.4333
-34.0333,22.2167
-34.0333,23.0333
-34.0333,24.7667
-34.03251,20.4576
-34.03237,18.66641
-34.03004,18.62147
-34.02164,18.43498
-34.01973,18.48283
-34.01561,24.91617
-34.00827,18.45516
-34.00722,23.33833
-34,18.7333
-33.99981,22.85565
-33.99278,18.71036
-33.99028,19.29
-33.98861,18.46833
-33.98575,18.5148
-33.98335,25.56665
-33.9833,18.4208
-33.9833,18.4667
-33.9833,18.5
-33.98311,18.58323
-33.97549,25.53339
-33.97153,23.88185
-33.96974,18.48844
-33.9667,22.45
-33.9667,25.5833
-33.96667,18.53275
-33.9666,22.4499
-33.9666,25.5833
-33.96479,24.81263
-33.96448,25.41022
-33.96444,22.47462
-33.9625,18.4917
-33.95204,24.30038
-33.95085,22.94612
-33.95064,25.54872
-33.94472,18.62583
-33.94343,25.50516
-33.94249,18.53091
