Mineral,id,xcoord,ycoord
Aluminium,6,30.5617318,-27.50320193
Aluminium,6,31.29888376,-27.60996187
Aluminium,6,31.27854853,-27.6379228
Aluminium,6,31.18704001,-27.81331413
Aluminium,6,31.0980734,-27.86923601
Aluminium,6,31.36497325,-27.82093984
Aluminium,6,31.3268447,-27.85144268
Aluminium,6,31.41326941,-27.85144268
Aluminium,6,30.43463663,-28.46404138
Aluminium,6,30.82100594,-28.63943271
Aluminium,6,31.07011246,-28.37507476
Aluminium,6,31.04723533,-28.41066141
Aluminium,6,31.3268447,-28.76906978
Aluminium,6,30.7955869,-28.87074591
Aluminium,6,30.51851944,-29.04359533
Aluminium,6,30.23891008,-29.30795328
Aluminium,6,30.32279289,-29.33083041
Aluminium,6,30.23891008,-29.39691989
Aluminium,6,30.17027869,-29.44775796
Aluminium,6,30.05080923,-29.33591421
Aluminium,6,29.80170271,-29.35624944
Aluminium,6,29.81695413,-29.48588651
Aluminium,6,29.85254078,-29.53418267
Aluminium,6,30.15756917,-29.62314929
Aluminium,6,30.08639588,-29.9408872
Aluminium,6,29.55005428,-30.66024584
Aluminium,6,28.53075106,-24.79861681
Coal,20,26.73291579,-31.37474586
Coal,20,31.76557414,-27.84216231
Coal,20,29.98307785,-28.04587617
Coal,20,30.10345422,-28.04124631
Coal,20,29.9182598,-27.51344222
Coal,20,29.88585078,-27.56900054
Coal,20,30.80719302,-27.70789636
Coal,20,30.95534855,-27.74493524
Coal,20,31.05720548,-27.67548733
Coal,20,31.07109506,-27.80512343
Coal,20,29.77473413,-27.05971589
Coal,20,30.53403125,-27.06434575
Coal,20,30.53866111,-27.11064436
Coal,20,29.05016096,-25.87678654
Coal,20,28.71681101,-26.1800424
Coal,20,28.81635301,-26.25875003
Coal,20,27.93899445,-26.69627184
Coal,20,28.52235687,-26.83285273
Coal,20,29.3210078,-26.71942115
Coal,20,29.11497901,-26.53422673
Coal,20,29.21220608,-26.44857431
Coal,20,29.2214658,-26.40459063
Coal,20,29.44138417,-26.45320417
Coal,20,29.86270148,-26.42079514
Coal,20,29.9715032,-26.3559771
Coal,20,29.99928236,-26.26569482
Coal,20,30.30948301,-26.84211245
Coal,20,30.18910664,-26.03188686
Coal,20,29.93214939,-25.92308514
Coal,20,29.7492699,-25.927715
Coal,20,29.5964845,-25.99484798
Coal,20,29.17979706,-26.26106496
Coal,20,29.11266408,-26.25412017
Coal,20,28.92515473,-26.13374379
Coal,20,29.01543701,-26.11290942
Coal,20,29.10108943,-25.91845528
Coal,20,29.14738803,-26.027257
Coal,20,29.12886859,-26.13605872
Coal,20,29.18442692,-26.126799
Coal,20,29.24693003,-25.97632854
Coal,20,29.31869287,-25.96475389
Coal,20,29.32795259,-26.06661082
Coal,20,29.3974005,-25.96012403
Coal,20,29.45990362,-25.927715
Coal,20,29.44138417,-26.01799728
Coal,20,29.44832897,-26.07124068
Coal,20,29.20526129,-26.02262714
Coal,20,29.14970296,-25.96475389
Coal,20,29.11034915,-26.0041077
Coal,20,29.41591994,-25.728631
Coal,20,29.99002264,-25.69159212
Coal,20,27.81861808,-26.84905724
Coal,20,26.71671128,-27.42315994
Coal,20,31.82807725,-25.70316677
Coal,20,30.95071869,-22.4865712
Coal,20,31.26091934,-22.58842813
Coal,20,27.4991577,-23.67413041
Coal,20,29.38119599,-22.30832157
Copper,9,25.28782059,-33.95878674
Copper,9,30.58148732,-28.62865986
Copper,9,31.01900913,-28.64486437
Copper,9,30.9703956,-28.28836512
Copper,9,31.06067788,-28.17030367
Copper,9,30.8442319,-28.15757156
Copper,9,30.85927895,-28.03835265
Copper,9,31.0201666,-26.35771329
Copper,9,31.00511955,-26.32298934
Copper,9,29.83550105,-25.61693562
Copper,9,29.90263403,-25.33914399
Copper,9,29.90957882,-25.0833442
Copper,9,29.68155819,-25.2095079
Copper,9,29.52761533,-25.3518761
Copper,9,29.38524712,-25.34840371
Copper,9,29.36094035,-25.34261638
Copper,9,29.33431865,-25.3287268
Copper,9,31.12028733,-24.0080591
Copper,9,30.86217261,-23.79971538
Copper,9,30.75337089,-23.83791173
Copper,9,30.45358742,-23.96060303
Copper,9,29.78920244,-24.07982194
Copper,9,30.09824563,-23.62378068
Copper,9,29.44196291,-23.44205866
Copper,9,29.54266237,-24.12727801
Copper,9,29.92694079,-22.52766121
Copper,9,29.92231093,-22.49988205
Copper,9,29.93504305,-22.38992286
Copper,9,29.98249912,-22.37603328
Copper,9,30.01375068,-22.34825412
Copper,9,30.03689998,-22.3389944
Copper,9,30.06120675,-22.31121523
Copper,9,30.0924583,-22.29732565
Copper,9,27.69476931,-24.81249736
Copper,9,29.06752294,-24.91609049
Copper,9,28.01422968,-25.81081103
Copper,9,27.95751389,-25.85942456
Copper,9,28.34642217,-25.74020565
Copper,9,28.58370252,-25.93928965
Copper,9,28.73996031,-26.0075801
Copper,9,26.08126293,-24.84780004
Copper,9,25.93079246,-24.84780004
Copper,9,27.16117789,-26.79928624
Copper,9,24.82078341,-26.3276192
Copper,9,20.67474335,-28.38443472
Copper,9,20.98610147,-28.58583365
Copper,9,21.01735303,-28.65991142
Copper,9,21.73266647,-28.46429981
Copper,9,18.37717508,-28.98168672
Copper,9,18.38411988,-29.01814688
Copper,9,18.41768636,-29.01062335
Copper,9,17.82737915,-28.90645149
Copper,9,17.87020536,-28.88793205
Copper,9,17.90261439,-28.9458053
Copper,9,17.10859331,-28.80227963
Copper,9,16.95233552,-28.51291335
Copper,9,17.15952178,-28.49323644
Copper,9,17.09817613,-28.40758402
Copper,9,17.16299417,-28.32424654
Copper,9,17.20234799,-28.31267188
Copper,9,17.26716603,-28.3520257
Copper,9,16.93613101,-28.36823021
Copper,9,16.90372199,-28.35665556
Copper,9,16.86784057,-28.31267188
Copper,9,16.91761157,-28.26868821
Copper,9,17.5704219,-29.58125366
Copper,9,17.54958752,-29.68426805
Copper,9,17.59820106,-29.67500833
Copper,9,17.72667969,-29.61829254
Copper,9,17.75214392,-29.5766238
Copper,9,17.74404166,-29.53264012
Copper,9,17.7695059,-29.61134775
Copper,9,17.81001718,-29.62523733
Copper,9,17.86094564,-29.61250521
Copper,9,17.84705606,-29.68079566
Copper,9,17.92807862,-29.66574861
Copper,9,17.99521159,-29.58588352
Copper,9,17.99521159,-29.55463196
Copper,9,17.92576369,-29.56273421
